,Track_id,Timings,Events,Time_signatures,Note_values,Velocity,6
0,0,0,Header, 1,5,1024,
1,1,0,Start_track,,0,0,
2,1,0,Time_signature, 3,2,24, 8
3,1,0,Key_signature, 1,0,0,
4,1,0,Tempo, 789473,0,0,
5,1,3072,Time_signature, 3,2,24, 8
6,1,3072,Key_signature, 1,0,0,
7,1,6144,Time_signature, 3,2,24, 8
8,1,6144,Key_signature, 1,0,0,
9,1,9216,Time_signature, 3,2,24, 8
10,1,9216,Key_signature, 1,0,0,
11,1,12288,Time_signature, 3,2,24, 8
12,1,12288,Key_signature, 1,0,0,
13,1,15360,Time_signature, 3,2,24, 8
14,1,15360,Key_signature, 1,0,0,
15,1,18432,Time_signature, 3,2,24, 8
16,1,18432,Key_signature, 1,0,0,
17,1,21504,Time_signature, 3,2,24, 8
18,1,21504,Key_signature, 1,0,0,
19,1,24576,Time_signature, 3,2,24, 8
20,1,24576,Key_signature, 1,0,0,
21,1,27648,Time_signature, 3,2,24, 8
22,1,27648,Key_signature, 1,0,0,
23,1,30720,Time_signature, 3,2,24, 8
24,1,30720,Key_signature, 1,0,0,
25,1,33792,Time_signature, 3,2,24, 8
26,1,33792,Key_signature, 1,0,0,
27,1,36864,Time_signature, 3,2,24, 8
28,1,36864,Key_signature, 1,0,0,
29,1,39936,Time_signature, 3,2,24, 8
30,1,39936,Key_signature, 1,0,0,
31,1,43008,Time_signature, 3,2,24, 8
32,1,43008,Key_signature, 1,0,0,
33,1,46080,Time_signature, 3,2,24, 8
34,1,46080,Key_signature, 1,0,0,
35,1,49152,Time_signature, 3,2,24, 8
36,1,49152,Key_signature, 1,0,0,
37,1,52224,Time_signature, 3,2,24, 8
38,1,52224,Key_signature, 1,0,0,
39,1,55296,Time_signature, 3,2,24, 8
40,1,55296,Key_signature, 1,0,0,
41,1,58368,Time_signature, 3,2,24, 8
42,1,58368,Key_signature, 1,0,0,
43,1,61440,Time_signature, 3,2,24, 8
44,1,61440,Key_signature, 1,0,0,
45,1,64512,Time_signature, 3,2,24, 8
46,1,64512,Key_signature, 1,0,0,
47,1,67584,Time_signature, 3,2,24, 8
48,1,67584,Key_signature, 1,0,0,
49,1,70656,Time_signature, 3,2,24, 8
50,1,70656,Key_signature, 1,0,0,
51,1,73728,Time_signature, 3,2,24, 8
52,1,73728,Key_signature, 1,0,0,
53,1,76800,Time_signature, 3,2,24, 8
54,1,76800,Key_signature, 1,0,0,
55,1,79872,Time_signature, 3,2,24, 8
56,1,79872,Key_signature, 1,0,0,
57,1,82944,Time_signature, 3,2,24, 8
58,1,82944,Key_signature, 1,0,0,
59,1,86016,Time_signature, 3,2,24, 8
60,1,86016,Key_signature, 1,0,0,
61,1,88064,End_track,,0,0,
62,2,0,Start_track,,0,0,
63,2,2048,Note_on_c, 0,67,64,
64,2,3072,Note_off_c, 0,67,0,
65,2,3072,Note_on_c, 0,67,64,
66,2,5120,Note_off_c, 0,67,0,
67,2,5120,Note_on_c, 0,74,64,
68,2,6144,Note_off_c, 0,74,0,
69,2,6144,Note_on_c, 0,71,64,
70,2,7680,Note_off_c, 0,71,0,
