,Track_id,Timings,Events,Time_signatures,Note_values,Velocity,6
0,0,0,Header, 1,2.0,480.0,
1,1,0,Start_track,,0.0,0.0,
2,1,0,Time_signature, 1,2.0,24.0, 8
3,1,0,Key_signature, -1,0.0,0.0,
4,1,0,Tempo, 500000,0.0,0.0,
5,1,0,Control_c, 0,121.0,0.0,
6,1,0,Program_c, 0,0.0,0.0,
7,1,0,Control_c, 0,7.0,100.0,
8,1,0,Control_c, 0,10.0,64.0,
9,1,0,Control_c, 0,91.0,0.0,
10,1,0,Control_c, 0,93.0,0.0,
11,1,0,MIDI_port, 0,0.0,0.0,
12,1,0,Note_on_c, 0,65.0,80.0,
13,1,0,Note_on_c, 0,60.0,80.0,
14,1,455,Note_off_c, 0,65.0,0.0,
15,1,455,Note_off_c, 0,60.0,0.0,
16,1,480,Time_signature, 4,2.0,24.0, 8
17,1,480,Note_on_c, 0,65.0,80.0,
18,1,480,Note_on_c, 0,62.0,80.0,
19,1,707,Note_off_c, 0,65.0,0.0,
20,1,707,Note_off_c, 0,62.0,0.0,
21,1,720,Note_on_c, 0,67.0,80.0,
22,1,720,Note_on_c, 0,64.0,80.0,
23,1,947,Note_off_c, 0,67.0,0.0,
24,1,947,Note_off_c, 0,64.0,0.0,
25,1,960,Note_on_c, 0,69.0,80.0,
26,1,960,Note_on_c, 0,65.0,80.0,
27,1,1415,Note_off_c, 0,69.0,0.0,
28,1,1415,Note_off_c, 0,65.0,0.0,
29,1,1440,Note_on_c, 0,67.0,80.0,
30,1,1440,Note_on_c, 0,62.0,80.0,
31,1,1895,Note_off_c, 0,67.0,0.0,
32,1,1895,Note_off_c, 0,62.0,0.0,
33,1,1920,Note_on_c, 0,65.0,80.0,
34,1,1920,Note_on_c, 0,62.0,80.0,
35,1,2375,Note_off_c, 0,65.0,0.0,
36,1,2375,Note_off_c, 0,62.0,0.0,
37,1,2400,Time_signature, 3,2.0,24.0, 8
38,1,2400,Note_on_c, 0,64.0,80.0,
39,1,2400,Note_on_c, 0,62.0,80.0,
40,1,2855,Note_off_c, 0,62.0,0.0,
41,1,2880,Note_on_c, 0,61.0,80.0,
42,1,3311,Note_off_c, 0,64.0,0.0,
43,1,3335,Note_off_c, 0,61.0,0.0,
44,1,3360,Note_on_c, 0,62.0,80.0,
45,1,3360,Note_on_c, 0,57.0,80.0,
46,1,3815,Note_off_c, 0,62.0,0.0,
47,1,3815,Note_off_c, 0,57.0,0.0,
48,1,3816,End_track,,0.0,0.0,
49,2,0,Start_track,,0.0,0.0,
50,2,0,Key_signature, -1,0.0,0.0,
51,2,0,MIDI_port, 0,0.0,0.0,
52,2,0,Note_on_c, 0,57.0,80.0,
53,2,0,Note_on_c, 0,41.0,80.0,
54,2,455,Note_off_c, 0,57.0,0.0,
55,2,455,Note_off_c, 0,41.0,0.0,
56,2,480,Note_on_c, 0,58.0,80.0,
57,2,480,Note_on_c, 0,46.0,80.0,
58,2,935,Note_off_c, 0,58.0,0.0,
59,2,935,Note_off_c, 0,46.0,0.0,
60,2,960,Note_on_c, 0,60.0,80.0,
61,2,960,Note_on_c, 0,41.0,80.0,
62,2,1415,Note_off_c, 0,60.0,0.0,
63,2,1415,Note_off_c, 0,41.0,0.0,
64,2,1440,Note_on_c, 0,58.0,80.0,
65,2,1440,Note_on_c, 0,43.0,80.0,
66,2,1895,Note_off_c, 0,58.0,0.0,
67,2,1895,Note_off_c, 0,43.0,0.0,
68,2,1920,Note_on_c, 0,57.0,80.0,
69,2,1920,Note_on_c, 0,45.0,80.0,
70,2,2375,Note_off_c, 0,57.0,0.0,
71,2,2375,Note_off_c, 0,45.0,0.0,
72,2,2400,Note_on_c, 0,57.0,80.0,
73,2,2400,Note_on_c, 0,45.0,80.0,
74,2,2855,Note_off_c, 0,57.0,0.0,
75,2,2880,Note_on_c, 0,55.0,80.0,
76,2,3311,Note_off_c, 0,45.0,0.0,
77,2,3335,Note_off_c, 0,55.0,0.0,
78,2,3360,Note_on_c, 0,53.0,80.0,
79,2,3360,Note_on_c, 0,38.0,80.0,
80,2,3815,Note_off_c, 0,53.0,0.0,
81,2,3815,Note_off_c, 0,38.0,0.0,
82,2,3816,End_track,,0.0,0.0,
83,0,0,End_of_file,,0.0,0.0,
