,Track_id,Timings,Events,Time_signatures,Note_values,Velocity,6
0,0,0,Header, 1,4,480,
1,1,0,Start_track,,0,0,
2,1,0,Time_signature, 2,2,24, 8
3,1,0,Key_signature, 1,0,0,
4,1,0,Tempo, 500000,0,0,
5,1,0,Control_c, 0,121,0,
6,1,0,Program_c, 0,0,0,
7,1,0,Control_c, 0,7,100,
8,1,0,Control_c, 0,10,64,
9,1,0,Control_c, 0,91,0,
10,1,0,Control_c, 0,93,0,
11,1,0,MIDI_port, 0,0,0,
12,1,0,Note_on_c, 0,67,80,
13,1,455,Note_off_c, 0,67,0,
14,1,480,Note_on_c, 0,69,80,
15,1,935,Note_off_c, 0,69,0,
16,1,936,End_track,,0,0,
17,2,0,Start_track,,0,0,
18,2,0,Key_signature, 1,0,0,
19,2,0,Control_c, 1,121,0,
20,2,0,Program_c, 1,0,0,
21,2,0,Control_c, 1,7,100,
22,2,0,Control_c, 1,10,64,
23,2,0,Control_c, 1,91,0,
24,2,0,Control_c, 1,93,0,
25,2,0,MIDI_port, 0,0,0,
26,2,0,Note_on_c, 1,67,80,
27,2,455,Note_off_c, 1,67,0,
28,2,480,Note_on_c, 1,67,80,
29,2,935,Note_off_c, 1,67,0,
30,2,936,End_track,,0,0,
31,3,0,Start_track,,0,0,
32,3,0,Key_signature, 1,0,0,
33,3,0,Control_c, 2,121,0,
34,3,0,Program_c, 2,0,0,
35,3,0,Control_c, 2,7,100,
36,3,0,Control_c, 2,10,64,
37,3,0,Control_c, 2,91,0,
38,3,0,Control_c, 2,93,0,
39,3,0,MIDI_port, 0,0,0,
40,3,0,Note_on_c, 2,62,80,
41,3,455,Note_off_c, 2,62,0,
42,3,480,Note_on_c, 2,60,80,
43,3,935,Note_off_c, 2,60,0,
44,3,936,End_track,,0,0,
45,4,0,Start_track,,0,0,
46,4,0,Key_signature, 1,0,0,
47,4,0,Control_c, 3,121,0,
48,4,0,Program_c, 3,0,0,
49,4,0,Control_c, 3,7,100,
50,4,0,Control_c, 3,10,64,
51,4,0,Control_c, 3,91,0,
52,4,0,Control_c, 3,93,0,
53,4,0,MIDI_port, 0,0,0,
54,4,0,Note_on_c, 3,47,80,
55,4,455,Note_off_c, 3,47,0,
56,4,480,Note_on_c, 3,45,80,
57,4,935,Note_off_c, 3,45,0,
58,4,936,End_track,,0,0,
59,0,0,End_of_file,,0,0,
